Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
CRYSTALINS,31/12/2021,60.00,0.00,5.13,0.02,34.85
CVOPRL,30/06/2022,45.31,0.00,16.03,0.25,38.41
DACCADYE,30/06/2022,30.10,0.00,17.41,0.48,52.01
DAFODILCOM,30/06/2022,41.39,0.00,25.47,0.17,32.97
DBH,31/12/2022,51.32,0.00,18.82,18.23,11.63
DBH1STMF,30/06/2022,16.67,0.00,32.92,5.48,44.93
DBLPBOND,31/12/2022,0.00,0.00,0.00,0.00,0.00
DEBARACEM,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBDLUGG,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBDWELD,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBDZIPP,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBXDENIM,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBXFISH,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBXKNI,30/06/2001,0.00,0.00,0.00,0.00,0.00
DEBBXTEX,30/06/2001,0.00,0.00,0.00,0.00,0.00
DELTALIFE,31/12/2018,42.05,0.00,22.56,0.00,35.39
DELTASPINN,30/06/2017,19.00,0.00,14.00,0.00,67.00
DESCO,30/06/2022,0.00,67.66,23.52,0.06,8.76
DESHBANDHU,30/06/2022,33.54,0.00,6.47,0.00,59.99
DGIC,31/12/2021,60.00,0.00,5.01,0.00,34.99
DHAKABANK,31/12/2021,41.12,0.00,13.87,0.00,45.01
DHAKAINS,31/12/2021,61.35,0.00,4.85,0.13,33.67
DOMINAGE,30/06/2022,30.20,0.00,19.47,0.00,50.33
DOREENPWR,30/06/2022,66.61,0.00,20.45,0.00,12.94
DSHGARME,30/06/2022,54.99,0.00,4.68,0.00,40.33
DSSL,30/06/2022,32.17,0.00,14.86,0.00,52.97
DULAMIACOT,30/06/2022,33.01,0.00,4.20,0.00,62.79
DUTCHBANGL,31/12/2021,84.99,0.00,4.98,0.01,10.02
EASTERNINS,31/12/2021,47.61,0.00,19.15,0.00,33.24
EASTLAND,31/12/2021,41.11,0.00,19.68,0.00,39.21
EASTRNLUB,30/06/2022,15.04,51.00,6.85,0.00,27.11
EBL,31/12/2022,30.67,0.00,47.97,0.54,20.82
EBL1STMF,30/06/2022,1.38,0.00,63.65,0.00,34.97
EBLNRBMF,30/06/2022,8.89,0.00,40.49,0.00,50.62
ECABLES,30/06/2022,14.12,51.00,18.32,0.00,16.56
EGEN,30/06/2022,37.77,0.00,30.37,0.45,31.41
EHL,30/06/2022,50.36,0.00,26.92,1.82,20.90
EIL,31/12/2021,60.00,0.00,4.02,0.00,35.98
EMERALDOIL,30/06/2016,30.45,0.00,7.94,0.00,61.61
ENVOYTEX,30/06/2021,45.58,0.00,44.58,0.06,9.78
EPGL,30/06/2022,54.13,0.00,16.46,0.00,29.41
ESQUIRENIT,30/06/2022,46.95,0.00,39.16,0.00,13.89
ETL,30/06/2022,36.67,0.00,20.67,0.00,42.66
EXIM1STMF,30/06/2022,21.97,0.00,27.12,0.00,50.91
EXIMBANK,31/12/2021,37.69,0.00,27.64,1.29,33.38
FAMILYTEX,30/06/2020,4.02,0.00,18.41,0.00,77.57
FARCHEM,30/06/2022,30.24,0.00,13.82,0.00,55.94
FAREASTFIN,31/12/2020,41.88,0.00,11.94,0.08,46.10
FAREASTLIF,31/12/2020,30.55,0.00,41.19,0.81,27.45
FASFIN,31/12/2021,13.20,0.00,9.70,0.00,77.10
FBFIF,30/06/2022,53.97,0.00,20.54,0.00,25.49
FEDERALINS,31/12/2021,38.26,0.00,1.42,0.00,60.32
FEKDIL,30/06/2022,67.20,0.00,8.74,0.00,24.06
FINEFOODS,30/06/2022,9.08,0.00,6.41,0.00,84.51
FIRSTFIN,31/12/2021,41.31,0.00,19.42,0.00,39.27
FIRSTSBANK,31/12/2021,33.34,0.00,18.34,1.87,46.45
FORTUNE,30/06/2022,30.93,0.00,25.54,0.00,43.53
FUWANGCER,30/06/2022,27.83,0.00,7.25,0.40,64.52
FUWANGFOOD,30/06/2022,7.85,0.00,6.04,0.38,85.73
GBBPOWER,30/06/2022,32.01,0.00,19.71,0.00,48.28
GEMINISEA,30/06/2022,33.65,0.00,9.42,0.34,56.59
GENEXIL,30/06/2022,31.68,0.00,24.08,0.06,44.18
GENNEXT,30/06/2022,13.82,0.00,23.55,0.00,62.63
GHAIL,30/06/2022,32.89,0.00,37.43,0.09,29.59
GHCL,30/06/2022,68.60,0.00,18.90,0.00,12.50
GIB,31/12/2021,45.50,0.00,31.80,0.00,22.70
GLDNJMF,31/12/2022,70.00,0.00,28.43,0.00,1.57
GLOBALINS,31/12/2021,35.67,0.00,9.25,0.00,55.08
GOLDENSON,30/06/2021,38.98,0.00,16.53,0.00,44.49
GP,31/12/2022,90.00,0.00,5.54,2.13,2.33
GPHISPAT,30/06/2022,49.61,0.00,18.40,0.00,31.99
GQBALLPEN,30/06/2022,41.88,0.00,1.47,0.05,56.60
GRAMEENS2,30/06/2022,20.52,0.00,51.21,0.00,28.27
GREENDELMF,30/06/2022,8.33,0.00,44.92,3.52,43.23
GREENDELT,31/12/2022,30.51,0.00,21.77,4.60,43.12
GSPFINANCE,31/12/2021,35.50,0.00,11.12,0.00,53.38
HAKKANIPUL,30/06/2022,46.26,0.00,4.53,0.00,49.21
HEIDELBCEM,31/12/2021,60.67,0.00,28.44,0.59,10.30
HFL,30/06/2022,51.38,0.00,25.16,0.00,23.46
HRTEX,30/06/2022,50.63,0.00,6.06,0.00,43.31
HWAWELLTEX,30/06/2022,50.83,0.00,10.58,0.06,38.53
IBBL2PBOND,31/12/2020,0.00,0.00,0.00,0.00,0.00
IBBLPBOND,31/12/2019,6.71,0.00,78.61,0.49,14.20
IBNSINA,30/06/2022,44.67,0.00,24.07,0.00,31.26
IBP,30/06/2022,41.12,0.00,10.32,0.01,48.55
ICB,30/06/2022,69.50,27.00,1.90,0.00,1.60
ICB3RDNRB,30/06/2022,10.03,0.00,49.62,6.78,33.57
ICBAGRANI1,30/06/2022,50.94,0.00,40.22,0.00,8.84
ICBAMCL2ND,30/06/2022,0.00,0.00,56.16,0.00,43.84
ICBEPMF1S1,30/06/2022,10.00,0.00,40.32,0.00,49.68
ICBIBANK,31/12/2021,52.76,0.17,22.34,0.00,24.73
ICBSONALI1,30/06/2022,25.00,0.00,64.63,0.00,10.37
ICICL,31/12/2021,41.98,0.00,8.50,0.00,49.52
